PC 1,PC 2,target
1.049429353719203,0.3014289753735015,0
-0.0044453392074659814,0.11142316874073518,1
0.003717960958142821,0.12808021935000136,1
0.0037199952699363747,0.12808364664912983,1
-0.9917718260468721,0.13095449672346895,1
1.152979422630382,0.7014682904110084,0
0.00372002937701066,0.12808367017860586,1
0.0037199526637694373,0.12808359102919334,1
0.6293675397390932,-0.5272222120424204,0
0.012240487502848821,0.11376338804779156,1
0.0027794008338632298,0.12618419506590764,1
0.8693197073337141,-0.23175423020812075,0
1.1071118591586349,0.5246361448206407,0
0.003720580595362057,0.12808291914343498,1
0.1556855992873733,-0.12415742916692152,0
0.15145501621786786,-0.11780007769074777,0
0.0039986251964192745,0.1276233755831354,1
0.8507350807297951,-0.27215024971996654,0
0.6310739606895909,-0.5282389988382341,1
-0.21177529711105458,-0.2665547509202733,1
-0.00036870460859272366,0.1198119971730524,1
0.003720032335443507,0.12808366976738092,1
-0.2801508778277113,-0.36613150127577804,1
0.0037214243534161953,0.1280818271992217,1
0.003719779541226677,0.12808340921295788,1
0.003719982570962941,0.12808362635288176,1
0.0037410271568120834,0.12805068450405388,2
-0.7537850387405525,-0.38653730321905966,2
-0.33216882942238424,-0.426293000679099,1
0.7381364118841623,-0.4452028365390492,1
-0.002552626139736421,0.11537330553312848,1
-1.0771203941546474,0.4039021894333327,2
0.0037133541953284486,0.12807244311933208,2
-0.0540378378642194,0.011963075202034379,1
-0.5177840583219152,-0.5304116885853412,1
0.2548141860122673,-0.26925302237876664,1
0.6209400251514272,-0.5294579084493907,0
-0.07319136977865089,-0.027182616949226756,1
0.0037361942354752244,0.12805886828023033,1
0.003719705255225564,0.12808328250670709,2
0.0005193408153487911,0.12165241083663411,1
0.0036864634800685024,0.12801805466094635,1
0.0003903429301373989,0.12137144828690753,2
-0.8989866963110111,-0.11239403197215084,1
0.0037200206006298623,0.12808366442071126,1
-0.4541143730582877,-0.5262401928516243,1
0.9364933987162651,-0.06531373435616154,0
0.0037198676199394704,0.1280834841367166,1
0.0037280190170129067,0.12807127654793032,1
0.00872493823780766,0.11972690499153993,0
-0.29726456683861163,-0.3895011544812434,1
0.0031153490835775437,0.1268857575151944,1
-0.2845441974940137,-0.37253419007237476,1
-0.7379168094525989,-0.40342312885741816,1
-0.8715435484110133,-0.1690731047107961,1
0.009800319424180278,0.11790836056022755,2
